Key,en,es,ar,fr,hi
opps,Opss!!,¡Ups!!,أوبس!!,Oups !!,ओह!!
value,Value,Valor,قيمة,Valeur,कीमत
something Went Wrong,"Something went wrong, Try again letter.","Algo salió mal, vuelve a intentarlo carta.",لقد حدث خطأ ما، حاول مرة أخرى.,"Une erreur s'est produite, réessayez.","कुछ ग़लत हो गया, पुनः प्रयास करें पत्र."
total Receive,Total Receive,Total recibido,إجمالي الاستلام,Total reçu,कुल प्राप्ति
total Send,Total Send Remittance,Remesa total enviada,إجمالي إرسال الحوالات,Total des envois de fonds,कुल भेजा गया धन
send,Send,Enviar,يرسل,Envoyer,भेजना
active,Active,Activo,نشيط,Actif,सक्रिय
receive,Receive,Recibir,يستلم,Recevoir,प्राप्त करें
recent Transactions,Recent Transactions,Transacciones recientes,المعاملات الأخيرة,Transactions récentes,हाल के लेनदेन
money Send,Money Send,Envío de dinero,إرسال الأموال,Envoyer de l'argent,पैसा भेजें
first Oct,01-Oct-22,01-Oct-22,1 أكتوبر 22,01-oct-22,01-अक्टूबर-22
tn2023,#TN-20236598,#TN-20236598,#TN-20236598,#TN-20236598,#टीएन-20236598
Sep29,29-Sep-22,29 de septiembre de 2022,29 سبتمبر 22,29 septembre 2022,29-सितंबर-22
t N20236,#TN-20236598,#TN-20236598,#TN-20236598,#TN-20236598,#टीएन-20236598
scan QR,SCAN QR,ESCANEAR QR,مسح رمز الاستجابة السريعة,SCANNER QR,स्कैन क्यूआर
mobile Top Up,Mobile Top Up,Recarga móvil,شحن الهاتف المحمول,Recharge mobile,मोबाइल टॉप अप
deposit,Deposit,Depósito,إيداع,Dépôt,जमा
withdraw,Withdraw,Retirar,ينسحب,Retirer,निकालना
no Bank Found,No bank found,No se encontró ningún banco,لم يتم العثور على البنك,Aucune banque trouvée,कोई बैंक नहीं मिला
buy Giftcard,Buy Giftcard,Comprar tarjeta de regalo,شراء بطاقة هدية,Acheter une carte-cadeau,गिफ्ट कार्ड खरीदें
my Giftcard,My Giftcard,Mi tarjeta de regalo,بطاقة الهدايا الخاصة بي,Ma carte-cadeau,मेरा गिफ्ट कार्ड
for Indivisual,For Indivisuals,Para Indivisuals,للأفراد,Pour les particuliers,व्यक्तियों के लिए
use Allpay Scan,Use Allpay Scan to pay me,Utilice Allpay Scan para pagarme,استخدم Allpay Scan للدفع لي,Utilisez Allpay Scan pour me payer,मुझे भुगतान करने के लिए ऑलपे स्कैन का उपयोग करें
specifyan Amount,Specify An Amount,Especifique una cantidad,حدد المبلغ,Spécifier un montant,राशि निर्दिष्ट करें
save Image,Save Image,Salvar el imagen,حفظ الصورة,Enregistrer l'image,चित्र को सेव करें
transaction History,Transaction History,Historial de transacciones,سجل المعاملات,Historique des transactions,ट्रांजेक्शन इतिहास
money Transfer,Money Transfer,Transferencia de dinero,تحويل الأموال,Transfert d'argent,मनी ट्रांसफर
qr Address,QR Address,Dirección QR,عنوان QR,Adresse QR,क्यूआर पता
qr Code,7QRpdfhgb351gaj,7QRpdfhgb351gaj,7QRpdfhgb351gaj,7QRpdfhgb351gaj,7QRpdfhgb351gaj
q C0135689,QC0135689,QC0135689,QC0135689,QC0135689,क्यूसी0135689
recipient,Recipient,Beneficiario,متلقي,Destinataire,प्राप्तकर्ता
archit Barhum,Archit Barhum,Arquitecto Barhum,المهندس المعماري برهوم,Archit Barhum,अर्चित बरहुम
zero00,0,0,0,0,0
paste,Paste,Pasta,لصق,Coller,पेस्ट करें
limit,Limit,Límite,حد,Limite,आप LIMIT
limit Amount,10.00 USD - 10000.00 USD,"10,00 USD - 10000,00 USD",10.00 دولار أمريكي - 10000.00 دولار أمريكي,"10,00 USD - 10 000,00 USD",10.00 अमरीकी डॉलर - 10000.00 अमरीकी डॉलर
t RX2136987,TRX2136987,TRX2136987,TRX2136987,TRX2136987,टीआरएक्स2136987
transaction No,Transaction No,Número de transacción,رقم المعاملة,Numéro de transaction,लेनदेन संख्या
no Transaction,No Transaction Available Yet,No hay ninguna transacción disponible todavía,لا توجد معاملة متاحة حتى الآن,Aucune transaction disponible pour le moment,अभी तक कोई लेनदेन उपलब्ध नहीं है
recipient Information,Recipient Information,Información del destinatario,معلومات المستلم,Informations sur le destinataire,प्राप्तकर्ता जानकारी
giftcard Information,Giftcard Information,Información de la tarjeta de regalo,معلومات بطاقة الهدايا,Informations sur la carte-cadeau,गिफ्ट कार्ड की जानकारी
name,Name,Nombre,اسم,Nom,नाम
amount Information,Amount Information,Información de cantidad,معلومات المبلغ,Informations sur le montant,राशि की जानकारी
you Transfer,You Transfer,Tu transferencia,أنت تنقل,Vous transférez,आप स्थानांतरण
your Money Has Been Save,Your money has been send Successfully. Thanks for using,Tu dinero se envió correctamente. Gracias por usar,تم إرسال أموالك بنجاح. شكرًا لاستخدامك,Votre argent a été envoyé avec succès. Merci de votre participation.,आपका पैसा सफलतापूर्वक भेज दिया गया है। उपयोग करने के लिए धन्यवाद
sayok,Sayok M.,Sayok M.,سايوك م.,Sayok M.,सायोक एम.
sayok Gmail,sayok@gmail.com,sayok@gmail.com,sayok@gmail.com,sayok@gmail.com,sayok@gmail.com
q RAddress,QR Address,Dirección QR,عنوان QR,Adresse QR,क्यूआर पता
transfer Success,Transfer Success,Transferencia exitosa,نجاح النقل,Succès du transfert,स्थानांतरण सफल
yourmoney Sen Success,Your money has been send Successfully. Thanks for using,Tu dinero se envió correctamente. Gracias por usar,تم إرسال أموالك بنجاح. شكرًا لاستخدامك,Votre argent a été envoyé avec succès. Merci de votre participation.,आपका पैसा सफलतापूर्वक भेज दिया गया है। उपयोग करने के लिए धन्यवाद
yourmoney Withdraw Success,Your money has been withdraw Successfully. Thanks for using,Tu dinero se retiró correctamente. Gracias por usar nuestra plataforma.,تم سحب أموالك بنجاح. شكرًا لاستخدامك.,Votre argent a été retiré avec succès. Merci de votre utilisation.,आपका पैसा सफलतापूर्वक निकाल लिया गया है। उपयोग करने के लिए धन्यवाद
yourmoney Deposit Success,Your money has been Deposit Successfully. Thanks for using,Su dinero se ha depositado correctamente. Gracias por usar,تم إيداع أموالك بنجاح. شكرًا لاستخدامك,Votre argent a été déposé avec succès. Merci de votre visite.,आपका पैसा सफलतापूर्वक जमा हो गया है। उपयोग करने के लिए धन्यवाद
your Bill Pay Success,Your bill has been paid Successfully. Thanks for using,Su factura se ha pagado correctamente. Gracias por usar,تم دفع فاتورتك بنجاح. شكرًا لاستخدامك,Votre facture a été réglée avec succès. Merci de votre utilisation.,आपका बिल सफलतापूर्वक भुगतान कर दिया गया है। उपयोग करने के लिए धन्यवाद
your Top Up Success,Your topup has been done Successfully. Thanks for using,Tu recarga se realizó correctamente. Gracias por usarla.,تم شحن رصيدك بنجاح. شكرًا لاستخدامك,Votre recharge a été effectuée avec succès. Merci de votre utilisation.,आपका टॉपअप सफलतापूर्वक हो गया है। उपयोग करने के लिए धन्यवाद
backto Home,Back to Home,Volver a la página de inicio,العودة إلى الصفحة الرئيسية,Retour à l'accueil,घर वापिस जा रहा हूँ
transfer Failed,Transfer Failed,Transferencia fallida,فشل النقل,Échec du transfert,स्थानांतरण विफल
your Moneyhas Beeen Failed,Your money has been Failed..!! Try Again! Thanks for using,¡Tu dinero ha fallado! ¡Inténtalo de nuevo! Gracias por usar,لقد فشلت عملية الدفع.. حاول مرة أخرى! شكرًا لاستخدامك.,Votre paiement a échoué ! Réessayez ! Merci de votre utilisation.,आपका पैसा वापस नहीं लिया गया है..!! पुनः प्रयास करें! उपयोग करने के लिए धन्यवाद
try Again,Try Again,Intentar otra vez,حاول ثانية,Essayer à nouveau,पुनः प्रयास करें
add Plus,Add +,Agregar +,أضف +,Ajouter +,+ जोड़ें
update,Update,Actualizar,تحديث,Mise à jour,अद्यतन
update Your App Right,Update your app right now for more feature,Actualiza tu aplicación ahora mismo para obtener más funciones,قم بتحديث تطبيقك الآن للحصول على المزيد من الميزات,Mettez à jour votre application dès maintenant pour plus de fonctionnalités,अधिक सुविधाओं के लिए अभी अपना ऐप अपडेट करें
more Offer,More Offer,Más Oferta,المزيد من العروض,Plus d'offres,अधिक प्रस्ताव
select Receipient,Select Receipient,Seleccionar destinatario,حدد المستلم,Sélectionner le destinataire,प्राप्तकर्ता चुनें
receiving Method,Receiving Method,Método de recepción,طريقة الاستلام,Méthode de réception,प्राप्ति विधि
select Method,Select Method,Seleccionar método,اختر الطريقة,Sélectionnez la méthode,विधि का चयन करें
sending Amount,Sending Amount,Monto de envío,مبلغ الإرسال,Montant envoyé,भेजने की राशि
u SD1Equal,1 USD = 1 USD,1 USD = 1 USD,1 دولار أمريكي = 1 دولار أمريكي,1 USD = 1 USD,1 अमरीकी डॉलर = 1 अमरीकी डॉलर
recipient Get,Recipient Get,Destinatario Obtener,المستلم الحصول على,Destinataire Obtenir,प्राप्तकर्ता प्राप्त करें
jhons Grill,Jhons Grill,Jhons Grill,جونز جريل,Jhons Grill,जॉन्स ग्रिल
jhons Grill Gmail,jhonsgrill@gmail.comj,jhonsgrill@gmail.comj,jhonsgrill@gmail.comj,jhonsgrill@gmail.comj,jhonsgrill@gmail.comj
wallet,Wallet,Billetera,محفظة,Portefeuille,बटुआ
select Bank,Select Bank,Seleccione Banco,اختر البنك,Sélectionnez la banque,बैंक चुनें
cash Pickup,Cash Pickup,Recogida de efectivo,استلام النقود,Retrait d'espèces,नकद पिकअप
select Street,Select Street,Seleccionar calle,اختر الشارع,Sélectionnez la rue,सड़क चुनें
sfrancisco,S. Francisco,San Francisco,سان فرانسيسكو,S. Francisco,एस. फ्रांसिस्को
money Receive Details,app for instant money transfer. Scan or Place this QRcode for receiving money in your wallet. Share this QR for instant money receiving.,Aplicación para transferencias instantáneas de dinero. Escanea o coloca este código QR para recibir dinero en tu billetera. Comparte este código QR para recibir dinero al instante.,تطبيق لتحويل الأموال فورًا. امسح رمز الاستجابة السريعة هذا أو ضعه في محفظتك لاستلام الأموال. شارك رمز الاستجابة السريعة هذا لاستلام الأموال فورًا.,Application pour transfert d'argent instantané. Scannez ou placez ce QRcode pour recevoir de l'argent dans votre portefeuille. Partagez ce QR pour recevoir de l'argent instantanément.,तुरंत पैसे ट्रांसफर करने के लिए ऐप। अपने वॉलेट में पैसे प्राप्त करने के लिए इस QR कोड को स्कैन करें या रखें। तुरंत पैसे प्राप्त करने के लिए इस QR कोड को शेयर करें।
sending Country,Sending Country,País de envío,الدولة المرسلة,Pays d'envoi,भेजने वाला देश
update Receipient,Update Recipient,Actualizar destinatario,تحديث المستلم,Mettre à jour le destinataire,अद्यतन प्राप्तकर्ता
australia,Australia,Australia,أستراليا,Australie,ऑस्ट्रेलिया
united State,United State,Estados Unidos,الولايات المتحدة,États-Unis,संयुक्त राज्य
upload Image,Upload Image,Subir imagen,تحميل الصورة,Télécharger l'image,तस्विर अपलोड करना
bank Deposit,Bank Deposit,Depósito bancario,وديعة بنكية,Dépôt bancaire,बैंक जमा
virtual Card Details,"This card you can be used to pay contactless in stores or online, but has its own unique card number, expiry date, and CVC.","Esta tarjeta se puede utilizar para pagar sin contacto en tiendas o en línea, pero tiene su propio número de tarjeta único, fecha de vencimiento y CVC.",يمكنك استخدام هذه البطاقة للدفع بدون تلامس في المتاجر أو عبر الإنترنت، ولكنها تحتوي على رقم بطاقة فريد وتاريخ انتهاء صلاحية ورمز CVC خاص بها.,"Cette carte peut être utilisée pour payer sans contact dans les magasins ou en ligne, mais possède son propre numéro de carte unique, sa date d'expiration et son CVC.","इस कार्ड का उपयोग आप दुकानों या ऑनलाइन संपर्क रहित भुगतान के लिए कर सकते हैं, लेकिन इसका अपना विशिष्ट कार्ड नंबर, समाप्ति तिथि और सीवीसी होता है।"
activation Fee,Activation Fee,Tarifa de activación,رسوم التفعيل,Frais d'activation,सक्रियण शुल्क
view More Info,View More Info,Ver más información,عرض المزيد من المعلومات,Voir plus d'informations,अधिक जानकारी देखें
gift Friends,Gift friends with virtual cards,Regale tarjetas virtuales a sus amigos,إهداء الأصدقاء بطاقات افتراضية,Offrez des cartes virtuelles à vos amis,दोस्तों को वर्चुअल कार्ड उपहार में दें
delivered,Delivered instantly by email,Entregado instantáneamente por correo electrónico,يتم تسليمها على الفور عبر البريد الإلكتروني,Livré instantanément par e-mail,ईमेल द्वारा तुरंत वितरित
redeemable For,Redeemable for online purchases,Canjeable por compras en línea,قابلة للاستبدال مقابل المشتريات عبر الإنترنت,Échangeable contre des achats en ligne,ऑनलाइन खरीदारी के लिए भुनाया जा सकता है
after You Buy,"After you buy it, you can show this number.","Después de comprarlo, puedes mostrar este número.",بعد شرائه، يمكنك إظهار هذا الرقم.,"Après l'avoir acheté, vous pouvez montrer ce numéro.",इसे खरीदने के बाद आप यह नंबर दिखा सकते हैं।
expiry Date,Expiry Date,Fecha de caducidad,تاريخ انتهاء الصلاحية,Date d'expiration,समाप्ति तिथि
cvc,CVC,CVC,رمز التحقق من البطاقة (CVC),CVC,सीवीसी
nine Elevent,09-Nov,09 de noviembre,9 نوفمبر,09-nov.,09-नवंबर
nine Six,963,963,963,963,963
buy Now,Buy Now,Comprar ahora,اشتري الآن,Acheter maintenant,अभी खरीदें
agency Fb,9864 1326 7135 3126,9864 1326 7135 3126,9864 1326 7135 3126,9864 1326 7135 3126,9864 1326 7135 3126
fund,Fund,Financiar,تمويل,Fonds,फंड
card Load Type,Card Load Type,Tipo de carga de la tarjeta,نوع تحميل البطاقة,Type de chargement de la carte,कार्ड लोड प्रकार
inssuance Fee,Inssuance Fee,Tarifa de emisión,رسوم الإصدار,Frais d'assurance,जारी करने का शुल्क
select Bill Category,Select Bill Category,Seleccione la categoría de la factura,حدد فئة الفاتورة,Sélectionnez la catégorie de facture,बिल श्रेणी चुनें
enter Bill Number,Enter Bill Number,Ingrese el número de factura,أدخل رقم الفاتورة,Entrez le numéro de facture,बिल संख्या दर्ज करें
bill Type,Bill Type,Tipo de factura,نوع الفاتورة,Type de facture,बिल का प्रकार
account Number,Account Number,Número de cuenta,رقم الحساب,Numéro de compte,खाता संख्या
enter Account Number,Enter Account Number,Ingrese el número de cuenta,أدخل رقم الحساب,Entrez le numéro de compte,खाता संख्या दर्ज करें
bank Name,Bank Name,Nombre del banco,اسم البنك,Nom de la banque,बैंक का नाम
enter Bank Name,Enter Bank Name,Ingrese el nombre del banco,أدخل اسم البنك,Entrez le nom de la banque,बैंक का नाम दर्ज करें
pay Bill,Pay Bill,Pagar factura,دفع الفاتورة,Payer la facture,वेतन बिल
payment Success,Payment Success,Pago exitoso,نجاح الدفع,Paiement réussi,भुगतान सफल
electicity,Electicity,Electricidad,الكهرباء,Électricité,बिजली
charge,Charge,Cargar,تكلفة,Charge,शुल्क
received Amount,Received Amount,Cantidad recibida,المبلغ المستلم,Montant reçu,प्राप्त राशि
b N135678951,B/N135678951,B/N135678951,ب/ن135678951,B/N135678951,बी/एन135678951
your Bill Has Been Paid,Your bill has been paid Successfully. Thanks for using,Su factura se ha pagado correctamente. Gracias por usar,تم دفع فاتورتك بنجاح. شكرًا لاستخدامك,Votre facture a été réglée avec succès. Merci de votre utilisation.,आपका बिल सफलतापूर्वक भुगतान कर दिया गया है। उपयोग करने के लिए धन्यवाद
load Fee,Load Fee,Tarifa de carga,رسوم التحميل,Frais de chargement,लोड शुल्क
min Load,Min Load,Carga mínima,الحد الأدنى للحمل,Charge minimale,न्यूनतम भार
max Load,Max Load,Carga máxima,أقصى حمولة,Charge maximale,अधिकतम भार
validity,Validity,Validez,صحة,Validité,वैधता
monthly Fees,Monthly Fees,Cuotas mensuales,الرسوم الشهرية,Frais mensuels,मासिक पास
enter Mobile Number,Enter Mobile Number,Introduzca el número de teléfono móvil,أدخل رقم الهاتف المحمول,Entrez le numéro de téléphone portable,मोबाइल नंबर दर्ज करें
mobile Top Up Type,Mobile Top Up Type,Tipo de recarga móvil,نوع شحن الهاتف المحمول,Type de recharge mobile,मोबाइल टॉप अप प्रकार
select Mobile Category,Select Mobile Category,Seleccionar categoría móvil,حدد فئة الهاتف المحمول,Sélectionnez la catégorie mobile,मोबाइल श्रेणी चुनें
a Tt Mobility,AT&T Mobility,Movilidad de AT&T,AT&T Mobility,AT&T Mobilité,एटी एंड टी मोबिलिटी
plus1611,+1 611 2357 896,+1 611 2357 896,+1 611 2357 896,+1 611 2357 896,+1 611 2357 896
top Up Now,Top Up Now,Recarga ahora,قم بشحن رصيدك الآن,Recharger maintenant,अभी टॉप अप करें
mobile Top Up Success,Mobile Top Up Success,Recarga móvil exitosa,نجاح شحن الهاتف المحمول,Recharge mobile réussie,मोबाइल टॉप अप सफलता
your Mobile Top Up,Your mobile top up has been Successfull. Thanks for using,Tu recarga móvil se ha realizado correctamente. Gracias por usarla.,تم شحن رصيد هاتفك بنجاح. شكرًا لاستخدامك.,Votre recharge mobile a été effectuée avec succès. Merci de votre utilisation.,आपका मोबाइल टॉप-अप सफल रहा। उपयोग करने के लिए धन्यवाद
google Play,Download On The,Descargar en el,تنزيل على,Télécharger sur le,डाउनलोड करें
google Play Gift Card,Google Play Gift Card,Tarjeta de regalo de Google Play,بطاقة هدايا جوجل بلاي,Carte-cadeau Google Play,Google Play उपहार कार्ड
category,Category,Categoría,فئة,Catégorie,वर्ग
five,5,5,5,5,5
cardsfive,5 Cards,5 cartas,5 بطاقات,5 cartes,5 कार्ड
available,Available,Disponible,متاح,Disponible,उपलब्ध
cards,/cards,/tarjetas,/بطاقات,/cartes,/कार्ड
price Card,Price/card,Precio/tarjeta,السعر/البطاقة,Prix/carte,मूल्य/कार्ड
more Info,More Info,Más información,مزيد من المعلومات,Plus d'infos,और जानकारी
price,Price,Precio,سعر,Prix,कीमत
pricebycard,Price/card,Precio/tarjeta,السعر/البطاقة,Prix/carte,मूल्य/कार्ड
card Details,Card Details,Detalles de la tarjeta,تفاصيل البطاقة,Détails de la carte,कार्ड विवरण
quantity,Quantity,Cantidad,كمية,Quantité,मात्रा
giftcard Purchase,Giftcard Purchase,Compra de tarjeta de regalo,شراء بطاقة هدية,Achat de carte-cadeau,गिफ्ट कार्ड खरीदारी
u SDzero,0.00 USD,"0,00 USD",0.00 دولار أمريكي,"0,00 USD",0.00 अमरीकी डॉलर
sub Category,Sub Category,Subcategoría,الفئة الفرعية,Sous-catégorie,उप श्रेणी
your Giff Card,Your Giftcard has been purchase Successfully. Thanks for using,Tu tarjeta de regalo se compró correctamente. Gracias por usarla.,تم شراء بطاقة الهدية بنجاح. شكرًا لاستخدامك.,Votre carte-cadeau a été achetée avec succès. Merci de l'avoir utilisée.,आपका गिफ्ट कार्ड सफलतापूर्वक खरीद लिया गया है। उपयोग करने के लिए धन्यवाद
profile,Profile,Perfil,حساب تعريفي,Profil,प्रोफ़ाइल
my Wallet,My Wallet,Mi billetera,محفظتي,Mon portefeuille,मेरा बटुआ
my Virtual Cards,My Virtual Cards,Mis tarjetas virtuales,بطاقاتي الافتراضية,Mes cartes virtuelles,मेरे वर्चुअल कार्ड
update Profile,Update Profile,Actualizar perfil,تحديث الملف الشخصي,Mettre à jour le profil,प्रोफ़ाइल अपडेट करें
update KYCForm,Update KYC Form,Actualizar el formulario KYC,تحديث نموذج KYC,Mettre à jour le formulaire KYC,केवाईसी फॉर्म अपडेट करें
f A2Security,2FA Security,Seguridad 2FA,أمان المصادقة الثنائية,Sécurité 2FA,2FA सुरक्षा
nine Eight,9864  5689  4623  1475,9864 5689 4623 1475,9864 5689 4623 1475,9864 5689 4623 1475,9864 5689 4623 1475
plus Buy New Card,+ Buy New Card,+ Comprar nueva tarjeta,+ شراء بطاقة جديدة,+ Acheter une nouvelle carte,+ नया कार्ड खरीदें
enter Amount,Enter Amount,Ingrese el monto,أدخل المبلغ,Entrez le montant,राशि डालें
add Fund,Add Fund,Añadir fondo,إضافة صندوق,Ajouter des fonds,फंड जोड़ें
buy Card,Buy Card,Comprar tarjeta,شراء البطاقة,Acheter une carte,कार्ड खरीदें
add Fund Succes,Add Fund Success,Añadir fondo con éxito,إضافة نجاح الصندوق,Ajouter un fonds de réussite,फंड जोड़ें सफलता
your Money Added Succes,Your money has been deposit Successfully. Thanks for using,Su dinero se ha depositado correctamente. Gracias por usar nuestro servicio.,تم إيداع أموالك بنجاح. شكرًا لاستخدامك,Votre argent a été déposé avec succès. Merci de votre visite.,आपका पैसा सफलतापूर्वक जमा हो गया है। उपयोग करने के लिए धन्यवाद
upload Passport Nid Dri,Upload Passport / NID / Driving Lic. etc doc for verification,"Cargue su pasaporte/NID/licencia de conducir, etc., para verificación",قم بتحميل جواز السفر / الهوية الوطنية / رخصة القيادة وما إلى ذلك من المستندات للتحقق منها,"Téléchargez le passeport / NID / permis de conduire, etc. pour vérification",सत्यापन के लिए पासपोर्ट / एनआईडी / ड्राइविंग लाइसेंस आदि दस्तावेज़ अपलोड करें
update KYC,Update KYC,Actualizar KYC,تحديث KYC,Mettre à jour KYC,केवाईसी अपडेट करें
enable2FASecurity,Enable 2FA Security,Habilitar la seguridad 2FA,تمكين أمان 2FA,Activer la sécurité 2FA,2FA सुरक्षा सक्षम करें
two FADetails,We’ll ask for a verification code via your security method if we notice a login from an unrecogn-ized device or browser. Enable your 2FA Security,Le solicitaremos un código de verificación a través de su método de seguridad si detectamos un inicio de sesión desde un dispositivo o navegador desconocido. Active su seguridad 2FA.,سنطلب رمز تحقق عبر وسيلة الأمان الخاصة بك إذا لاحظنا تسجيل دخول من جهاز أو متصفح غير معروف. فعّل ميزة المصادقة الثنائية (2FA),Nous vous demanderons un code de vérification via votre méthode de sécurité si nous constatons une connexion depuis un appareil ou un navigateur non reconnu. Activez votre sécurité 2FA.,"अगर हमें किसी अपरिचित डिवाइस या ब्राउज़र से लॉगिन दिखाई देता है, तो हम आपकी सुरक्षा विधि के ज़रिए एक सत्यापन कोड मांगेंगे। अपनी 2FA सुरक्षा सक्षम करें"
send Verification Code,Send Verification Code,Enviar código de verificación,إرسال رمز التحقق,Envoyer le code de vérification,सत्यापन कोड भेजें
your Two Security HAs Been Active,Your 2FA Security has been activate Successfully.,Su seguridad 2FA se ha activado exitosamente.,لقد تم تفعيل أمان 2FA الخاص بك بنجاح.,Votre sécurité 2FA a été activée avec succès.,आपकी 2FA सुरक्षा सफलतापूर्वक सक्रिय हो गई है।
transactions Log,Transactions Log,Registro de transacciones,سجل المعاملات,Journal des transactions,लेनदेन लॉग
transaction Log,Transaction Logs,Registros de transacciones,سجلات المعاملات,Journaux de transactions,लेन-देन लॉग
virtual Card Log,Virtual Card Log,Registro de tarjeta virtual,سجل البطاقة الافتراضية,Journal de cartes virtuelles,वर्चुअल कार्ड लॉग
help Center,Help Center,Centro de ayuda,مركز المساعدة,Centre d'aide,सहायता केंद्र
privacy Policy,Privacy & Policy,Política de privacidad,سياسة الخصوصية,Politique de confidentialité,गोपनीयता नीति
about Us,About Us,Sobre nosotros,معلومات عنا,À propos de nous,हमारे बारे में
colnel Arichart,Colnel Arichart,Coronel Arichart,العقيد أريتشارت,Colonel Arichart,कर्नल अरिचार्ट
colnel Gmail,Colnelarichart@gmail.com,Colnelarichart@gmail.com,Colnelarichart@gmail.com,Colnelarichart@gmail.com,Colnelarichart@gmail.com
sign Out,Sign Out,Desconectar,تسجيل الخروج,Se déconnecter,साइन आउट
saved Receipients,Saved Receipients,Destinatarios guardados,المستلمون المحفوظون,Destinataires enregistrés,सहेजे गए प्राप्तकर्ता
giftcard Log,Giftcard Log,Registro de tarjetas de regalo,سجل بطاقة الهدايا,Journal des cartes-cadeaux,गिफ्टकार्ड लॉग
bill Payment Log,Bill Payment Log,Registro de pago de facturas,سجل دفع الفواتير,Journal de paiement des factures,बिल भुगतान लॉग
mobile Top Up Log,Mobile Top Up Log,Registro de recargas móviles,سجل شحن الهاتف المحمول,Journal de recharge mobile,मोबाइल टॉप अप लॉग
redeem Card,Redeem Card,Canjear tarjeta,استرداد البطاقة,Utiliser la carte,कार्ड रिडीम करें
t Mobile US,T-Mobile US,T-Mobile EE. UU.,تي موبايل الولايات المتحدة,T-Mobile États-Unis,टी-मोबाइल यूएस
verizon,Verizon,Verizon,فيريزون,Verizon,Verizon
education,Education,Educación,تعليم,Éducation,शिक्षा
gass Bill,Gass Bill,Factura del gas,فاتورة غاس,Facture de gaz,गैस बिल
internet,Internet,Internet,إنترنت,Internet,इंटरनेट
telephone,Telephone,Teléfono,الهاتف,Téléphone,टेलीफ़ोन
tr X9VW3SWKA9Y,TRX-6J9VW3SWKA9Y,TRX-6J9VW3SWKA9Y,TRX-6J9VW3SWKA9Y,TRX-6J9VW3SWKA9Y,TRX-6J9VW3SWKA9Y
trx Net99,TRX-Netflix 99,TRX-Netflix 99,TRX-Netflix 99,TRX-Netflix 99,TRX-नेटफ्लिक्स 99
agreed,Please agree with term and condition,"Por favor, acepte los términos y condiciones.",يرجى الموافقة على الشروط والأحكام,Veuillez accepter les termes et conditions,कृपया नियम और शर्तों से सहमत हों
delete Account,Delete Account,Eliminar cuenta,حذف الحساب,Supprimer le compte,खाता हटा दो
old Password,Old Password,Contraseña anterior,كلمة المرور القديمة,Ancien mot de passe,पुराना पासवर्ड
enter Old Password,Enter Old Password,Ingrese la contraseña anterior,أدخل كلمة المرور القديمة,Entrez l'ancien mot de passe,पुराना पासवर्ड दर्ज करें
paypal Payment,Paypal Payment,Pago con PayPal,الدفع عبر باي بال,Paiement PayPal,पेपैल भुगतान
flutterwave Payment,Flutterwave Payment,Pago de Flutterwave,دفع Flutterwave,Paiement Flutterwave,फ़्लटरवेव भुगतान
razor Pay Payment,Razorpay Payment,Pago con Razorpay,الدفع عبر Razorpay,Paiement Razorpay,रेजरपे भुगतान
pagadito Payment,Pagadito Payment,Pago Pagadito,الدفع عن طريق باجاديتو,Paiement Pagadito,पगाडिटो भुगतान
we Ask For Verification,We’ll ask for a verification code via your security method if we notice a login from an unrecogn-ized device or browser. Enable your 2FA Security,Le solicitaremos un código de verificación a través de su método de seguridad si detectamos un inicio de sesión desde un dispositivo o navegador desconocido. Active su seguridad 2FA.,سنطلب رمز تحقق عبر وسيلة الأمان الخاصة بك إذا لاحظنا تسجيل دخول من جهاز أو متصفح غير معروف. فعّل ميزة المصادقة الثنائية (2FA),Nous vous demanderons un code de vérification via votre méthode de sécurité si nous constatons une connexion depuis un appareil ou un navigateur non reconnu. Activez votre sécurité 2FA.,"अगर हमें किसी अपरिचित डिवाइस या ब्राउज़र से लॉगिन दिखाई देता है, तो हम आपकी सुरक्षा विधि के ज़रिए एक सत्यापन कोड मांगेंगे। अपनी 2FA सुरक्षा सक्षम करें"
credit Card Sample Text,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old.'","Contrariamente a la creencia popular, Lorem Ipsum no es un simple texto aleatorio. Tiene sus raíces en una obra de literatura latina clásica del año 45 a. C., lo que le otorga más de 2000 años de antigüedad.",خلافًا للاعتقاد السائد، فإن نص لوريم إيبسوم ليس مجرد نص عشوائي. له جذور في الأدب اللاتيني الكلاسيكي من عام ٤٥ قبل الميلاد، أي ما يزيد عن ٢٠٠٠ عام.,"Contrairement à la croyance populaire, le Lorem Ipsum n'est pas un simple texte aléatoire. Il trouve ses racines dans une œuvre de la littérature latine classique datant de 45 av. J.-C., ce qui lui confère plus de 2 000 ans.","आम धारणा के विपरीत, लोरेम इप्सुम कोई साधारण पाठ नहीं है। इसकी जड़ें 45 ईसा पूर्व के शास्त्रीय लैटिन साहित्य में हैं, जिससे यह 2000 साल से भी ज़्यादा पुराना हो जाता है।"
card Holder,Card Holder,Titular de la tarjeta,حامل البطاقة,Porte-cartes,कार्ड धारक
valid Thru,VALID THRU,VÁLIDO HASTA,صالحة حتى,VALABLE JUSQU'AU,के जरिए मान्य
pay Now,Pay Now,Pagar ahora,ادفع الآن,Payer maintenant,अब भुगतान करें
